tweet_id,source,expanded_urls,timestamp,rating_numerator,rating_denominator,name,stage,retweet_count,favorite_count,lang,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
892177421306343426,iPhone,https://twitter.com/dog_rates/status/892177421306343426/photo/1,2017-08-01 00:17:27,13,10,Tilly,,5600,30876,English,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True
891815181378084864,iPhone,https://twitter.com/dog_rates/status/891815181378084864/photo/1,2017-07-31 00:18:03,12,10,Archie,,3710,23229,English,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
891327558926688256,iPhone,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",2017-07-29 16:00:24,12,10,Franklin,,8339,37275,English,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True
890729181411237888,iPhone,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",2017-07-28 00:22:40,13,10,None,,16912,60206,English,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True
890609185150312448,iPhone,https://twitter.com/dog_rates/status/890609185150312448/photo/1,2017-07-27 16:25:51,13,10,Zoey,,3849,25857,English,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True
890240255349198849,iPhone,https://twitter.com/dog_rates/status/890240255349198849/photo/1,2017-07-26 15:59:51,14,10,Cassie,doggo,6580,29521,English,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
890006608113172480,iPhone,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",2017-07-26 00:31:25,13,10,Koda,,6569,28434,English,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True
889665388333682689,iPhone,https://twitter.com/dog_rates/status/889665388333682689/photo/1,2017-07-25 01:55:32,13,10,None,puppo,8968,44519,English,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True
889638837579907072,iPhone,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",2017-07-25 00:10:02,12,10,Ted,,4013,25047,English,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True
889531135344209921,iPhone,https://twitter.com/dog_rates/status/889531135344209921/photo/1,2017-07-24 17:02:04,13,10,Stuart,puppo,2022,14055,English,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True
